study_type,sample_size,technology,disease_focus,key_finding,clinical_relevance,pmid,title,year
computational,,genomic and transcriptomic analysis,Angioimmunoblastic T-Cell Lymphoma,Integrative genomic and transcriptomic analysis identifies targetable vulnerabilities in angioimmunoblastic T-cell lymphoma.,high,40510016,Integrative Genomic and Transcriptomic Analysis Reveals Targetable Vulnerabilities in Angioimmunoblastic T-Cell Lymphoma.,2025
clinical,,"['CyTOF', 'TCR-seq', 'SNP genotyping']",COVID-19,"Integration of T cell repertoire, mass cytometry, and genetic data using Latent Class Model analysis reveals immunological subphenotypes in COVID-19 patients with varying clinical outcomes.",high,40502932,"Integration of T cell repertoire, CyTOF, genotyping and symptomatology data reveals subphenotypic variability in COVID-19 patients.",2025
basic_research,,,transplant rejection,"HLA-DQ monomers successfully enriched HLA-DQ-specific CD4 T cells through repeated stimulation, as demonstrated by proliferation and activation marker upregulation.",high,40502077,HLA-DQ monomer-based enrichment of alloreactive CD4 T cells.,2025
computational,,TCR-seq,viral infections and cancer,A joint experimental and computational approach was developed to accurately predict antigen specificity of clinically-derived TCR sequences using biophysical modeling.,high,40501772,Biophysical modeling for accurate T cell specificity prediction of viral and tumor antigens.,2025
basic_research,,phage display,cancer,Phage display combined with machine learning enables discovery of cancer antigen-specific TCRs targeting epitopes like NY-ESO-1 for T cell-based therapies.,high,40498839,Phage display enables machine learning discovery of cancer antigen-specific TCRs.,2025
clinical,52.0,"whole exome sequencing, intracellular cytokine staining, TCR repertoire sequencing, single-cell transcriptomics",IDH1-mutant glioma,"Personalized neoantigen-targeting peptide vaccines induced robust, polyfunctional, and polyclonal CD4+ and CD8+ T cell responses against mutIDH1 in 89% of patients, with shared TCR sequences identified across patients with matching HLA alleles.",high,40480654,In-depth characterization of vaccine-induced neoantigen-specific T cells in patients with IDH1-mutant glioma undergoing personalized peptide vaccination.,2025
clinical,,,allergic asthma,"Different sampling methods (BAL, endobronchial brushings, biopsies) capture distinct T cell phenotypes and clonotypes from the lungs in health and allergic asthma.",high,40462898,Distinct phenotypes and repertoires of bronchoalveolar and airway mucosal T cells in health and allergic asthma.,2025
basic_research,,,pancreatic ductal adenocarcinoma (PDAC),"Enhanced mutanome analysis can improve neoepitope identification and T-cell response induction for personalized immunotherapy of pancreatic cancer, addressing challenges of low tumor cell content and limited mutational load.",high,40461160,Enhanced mutanome analysis towards the induction of neoepitope-reactive T-cell responses for personalized immunotherapy of pancreatic cancer.,2025
computational,,"single-cell TCR-seq, bulk TCR-seq",none,"LightCTL, a lightweight contrastive learning method with context-aware prompts, substantially improves the accuracy and generalizability of TCR-pMHC binding specificity prediction across diverse datasets and TCR sequence variations.",high,40439672,LightCTL: lightweight contrastive TCR-pMHC specificity learning with context-aware prompt.,2025
clinical,,high-throughput sequencing,B-ALL (B-cell acute lymphoblastic leukemia),BCR and TCR repertoires identified as potential prognostic biomarkers for pediatric B-ALL patients to improve individualized therapy and clinical outcomes.,high,40433442,High-throughput Sequencing Reveals that BCR and TCR Repertoires as Potential Prognostic Biomarkers for Pediatric Patients with B-ALL.,2025
computational,,TCR-seq,none,"A two-stage VAE framework with contrastive learning and cosine triplet loss improved TCR latent feature representation and peptide-specific clustering, outperforming sequence-based methods for TCR specificity prediction.",medium,40432791,TCRCluster: a novel approach to T-cell receptor latent featurization and clustering using contrastive learning-guided two-stage variational autoencoders.,2025
computational,,,none,Generative Adversarial Networks using LSTM and LeakyReLU architectures can generate biologically reliable and diverse CDR3 sequences for engineered T-cell receptor applications.,high,40419551,High-fidelity in silico generation and augmentation of TCR repertoire data using generative adversarial networks.,2025
review,,"massive parallel sequencing, single-cell experiment platforms, genome engineering",autoimmune diseases,"Recent advancements in big data science and sequencing technologies enable comprehensive analysis of TCR repertoire diversity and enable TCR-mediated immune regulation research including TCR as biomarkers, TCR-T cell differentiation links, and TCR genetic regulation.",high,40416013,Big Data Science on T Cell Receptor-mediated Immune Regulation.,2025
clinical,,spatiotemporal T-cell tracking,childhood cancer,Spatiotemporal T-cell tracking enables personalized TCR T-cell therapy design to improve immune checkpoint inhibition responses in pediatric malignancies with low mutational burden.,high,40403847,Spatiotemporal T-cell tracking for personalized T-cell receptor T-cell therapy designs in childhood cancer.,2025
basic_research,,"multiplex PCR, TCR-seq, unique molecular identifiers",cancer,A robust multiplex PCR protocol (FUME-TCRseq) with unique molecular identifiers enables TCR repertoire sequencing from poor-quality RNA in formalin-fixed paraffin-embedded tumor samples.,high,40402454,A Robust Quantitative Multiplex PCR for T-cell Receptor Repertoire Sequencing from Formalin-Fixed Paraffin-Embedded Samples.,2025
computational,,"['scRNA-seq', 'scTCR-seq']",none,Immunopipe is a comprehensive pipeline for integrated analysis of scRNA-seq and scTCR-seq data that combines command-line and web-based interfaces to enable exploration of cell heterogeneity and T-cell receptor repertoires.,medium,40391086,Immunopipe: a comprehensive and flexible scRNA-seq and scTCR-seq data analysis pipeline.,2025
basic_research,,"peptide-MHC multimers, TCR gene transfer, combinatorial peptide library scanning",prostate cancer,"KLK4-A2 TCR demonstrates high specificity and effective cytotoxic killing potential against prostate cancer with minimal off-target reactivity, supporting its therapeutic potential for TCR-based immunotherapy.",high,40387827,TCR-Based Therapy Directed against Kallikrein-Related Peptidase 4 Is Safe and Effective against Prostate Cancer.,2025
clinical,,TCR diversity analysis (D50),colorectal cancer and non-small-cell lung cancer,T-cell receptor diversity (D50) values in peripheral blood may serve as a biomarker for diagnosis and treatment evaluation in colorectal and lung cancers.,high,40387418,Peripheral Blood T-Cell Receptor Repertoire Diversity as a Potential Biomarker in the Diagnosis and Treatment Evaluation of Colorectal and Lung Cancers: A Prospective Observational Study.,2025
